岗位名称,工作地点,岗位薪资,经验要求,学历要求,岗位标签,企业名称,企业行业,企业规模,融资状况
高级研发工程师(机器人与大模型算法)-国央企,上海,35-50k,5-10年,硕士,"Python,算法开发,强化学习,深度学习",某上海互联网上市公司,互联网,2000-5000人,已上市
多模态大模型算法实习生,上海-徐汇区,6-8k,经验不限,硕士,"PyTorch,Python,算法研究",上海人工智能实验室,人工智能,500-999人,Unknown
大模型方舟平台研发工程师/架构师,上海-徐汇区,35-65k·16薪,5-10年,统招本科,云计算领域,某北京大型云计算/大数据公司,云计算/大数据,10000人以上,D轮及以上
高级研发工程师 （大模型+机器人）,上海-宝山区,15-30k,3-5年,硕士,Unknown,同道猎聘集团,互联网,2000-5000人,港股上市
AI大模型平台研发工程师,上海-虹口区,15-25k·14薪,3-5年,本科,Unknown,天翼视联科技有限公司,运营商/增值服务,1000-2000人,Unknown
大模型算法,上海-徐汇区,40-60k·16薪,经验不限,统招本科,Unknown,某北京大型云计算/大数据公司,云计算/大数据,10000人以上,D轮及以上
大模型交付专家（深圳上海）,上海,60-80k·14薪,5-10年,统招本科,Unknown,某大型世界500强通信设备公司,通信设备,10000人以上,战略融资
高级研发工程师(NLP大模型算法)-国央企,上海,30-50k,5-10年,硕士,"Python,算法开发,算法优化,自然语言生成,文字蕴含,情感识别",某上海互联网上市公司,互联网,2000-5000人,已上市
端侧大模型实现与落地优化工程师,上海,90-120k·14薪,3-10年,统招本科,"深度学习,深度学习框架",某深圳通信设备上市公司,通信设备,10000人以上,已上市
大模型运营管理平台产品经理 (MJ002015),上海-徐汇区,18-27k·14薪,1-3年,统招本科,"数据产品,大模型,AI人工智能产品",星环科技,计算机软件,1000-2000人,科创板上市
端到端大模型研发工程师,上海-闵行区,50-80k·15薪,3-5年,硕士,Unknown,国内某知名汽车行业,汽车研发,10000人以上,已上市
大模型算法工程师,上海-徐汇区,40-70k·15薪,5-10年,统招本科,"自然语言生成,文本分类,问答系统,自动摘要,GPT,BERT,NLP,多模态,图像生成,强化学习",国内某知名互联网公司,电子/芯片/半导体,10000人以上,D轮及以上
大模型算法工程师,上海,40-70k·16薪,3-5年,本科,"大模型,LLM,Llama,PyTorch,NLP",某杭州互联网公司,互联网,10000人以上,已上市
大模型训练框架开发工程师,上海-徐汇区,30-60k,3-5年,本科,"C/C++,Python",某上海专业技术服务公司,专业技术服务,100-499人,Unknown
AI大模型算法工程师,上海,60-90k,3-5年,硕士,"优化算法,算法优化,深度学习",某杭州运营商/增值服务公司,运营商/增值服务,5000-10000人,Unknown
算法专家-大模型/客服,上海,70-100k·15薪,经验不限,硕士,自然语言处理,某一线大厂,人工智能,10000人以上,D轮及以上
高级研发工程师(NLP大模型算法),上海-浦东新区,30-50k,5-10年,硕士,算法 自然语言,某上海互联网上市公司,互联网,2000-5000人,已上市
ai大模型算法工程师,上海-徐汇区,25-50k,3-5年,博士,"自然语言处理,深度学习",某宁波家具/家居上市公司,家具/家居,10000人以上,已上市
大模型算法专家,上海,100-110k,经验不限,硕士,自然语言处理,某上海人工智能公司,人工智能,1-49人,Unknown
大模型算法专家,上海,45-70k,经验不限,硕士,"深度学习,自然语言处理,算法研究,深度学习框架",某上海大型保险公司,保险,5000-10000人,Unknown
NLP大模型算法专家,上海,45-70k,5-10年,硕士,"NLP,基座大模型,预训练",某上海IT服务公司,IT服务,50-99人,Unknown
大模型算法专家,上海,70-100k·16薪,5年以下,硕士,"深度学习,算法研究,自然语言处理,深度学习框架",某大型保险公司,保险,5000-10000人,Unknown
大模型应用开发组长(Python),上海-静安区,21-35k,5-10年,统招本科,"大模型应用开发,Python,知识库,RAG,LLM,langchai,LlamaIndex,大模型算法,Java",树根互联,人工智能,1000-2000人,C轮
算法工程师（大模型方向）,上海-徐汇区,28-35k,3-5年,硕士,"算法开发,Python,深度学习",诺优信息技术(上海)有限公司,通信设备,100-499人,战略投资
计算网络部_AI算力与大模型产品解决方案工程师(J58750),上海-浦东新区,20-40k·16薪,3-5年,本科,"AI产品,云计算,云平台,大模型",Baidu,互联网,10000人以上,美股上市
大模型开发工程师,上海-闵行区,40-70k·16薪,3-5年,硕士,"多模态,预训练,大模型微调,自然语言处理,问答系统,图像识别,语音识别,视觉处理,算法开发",博泷锐科技(上海)有限公司,金属制品,1-49人,Unknown
大模型算法,上海-黄浦区,80-110k,经验不限,博士,"深度学习,深度学习框架",七腾机器人,智能硬件,100-499人,B轮
AI大模型开发工程师,上海-青浦区,50-60k,1-3年,硕士,"Python,算法开发,自然语言处理,深度学习,机器视觉",交信(浙江)信息发展股份有限公司,计算机软件,500-999人,沪深A股上市
NLP大模型算法专家,上海,薪资面议,经验不限,本科,"TensorFlow,PyTorch",北京九章云极科技有限公司,互联网,100-499人,C轮
自然语言处理工程师（大模型微调）(A160979),上海-徐汇区,35-55k,5-10年,本科,"自然语言处理,Python,大模型,SVM,RNN,LSTM,文本分类,自然语言生成,情感识别",星纪魅族,互联网,1000-2000人,Unknown
NLP大模型算法专家,上海,35-65k·16薪,5-10年,硕士,Unknown,某北京人工智能公司,人工智能,100-499人,D轮及以上
大模型算法工程师/专家,上海,60-80k,5-10年,硕士,Unknown,某北京人工智能公司,人工智能,100-499人,D轮及以上
大模型产品负责人,上海,150-180k·16薪,10年以上,硕士,"大模型,到店到家,推荐算法,大模型算法",某知名公司,互联网,50-99人,融资未公开
大模型算法工程师,上海,50-80k·16薪,经验不限,硕士,"语言模型,深度学习",某北京互联网公司,互联网,100-499人,B轮
大模型工程师,上海-青浦区,40-45k,10年以上,统招本科,"算法研究,图像处理,自然语言处理,C++,C语言,Python,机器视觉,PyTorch,TensorFlow",某知名上市公司,货运/物流/仓储,10000人以上,已上市
大模型技术专家,上海,30-60k·16薪,经验不限,硕士,"语言模型,PyTorch",某上海人工智能公司,人工智能,1-49人,Unknown
大模型算法工程师,上海,50-60k,5-10年,学历不限,语言模型,某知名公司,人力资源服务,50-99人,Unknown
（多模态大模型）算法工程师,上海-徐汇区,20-40k,1-3年,硕士,多模态大模型,智子引擎,人工智能,50-99人,A轮
高级大模型训练师,上海-闵行区,30-50k,5-10年,本科,Unknown,北京之合网络科技有限公司,科技推广服务,1-49人,Unknown
大模型推理系统性能优化专家,上海,35-65k·16薪,3-5年,硕士,C++,某杭州互联网上市公司,互联网,10000人以上,已上市
大模型推理系统性能优化专家,上海,50-80k,5-10年,本科,"深度学习,C++",某上海大型互联网公司,互联网,10000人以上,融资未公开
达摩院-大模型推理系统性能优化专家-计算技术,上海-浦东新区,40-70k·16薪,5-10年,本科,云计算领域,阿里巴巴达摩院(杭州)科技有限公司,互联网,100-499人,Unknown
大模型推理GPU性能优化专家-北京/杭州/上海,上海,40-70k·16薪,5-10年,本科,"深度学习,C++",某杭州互联网公司,互联网,100-499人,融资未公开
金融大模型开发,上海,15-25k·16薪,3-5年,本科,"深度学习,算法研究,深度学习框架",某深圳世界500强上市公司,银行,10000人以上,已上市
大模型,上海-徐汇区,20-35k·16薪,3-5年,硕士,"深度学习,算法研究,深度学习框架",某深圳世界500强上市公司,银行,10000人以上,已上市
机器人导航/控制大模型先行研究岗,上海-青浦区,薪资面议,3年以上,博士,大模型,美的集团,家电,10000人以上,Unknown
猎头顾问-大模型方向,上海,7-12k·15薪,1-3年,统招本科,IT/互联网/软件,某知名计算机软件公司,计算机软件,100-499人,D轮及以上
大模型解决方案经理,上海,30-50k·15薪,经验不限,学历不限,Unknown,某北京知名互联网公司,互联网,100-499人,B轮
NLP大模型算法工程师,上海,30-50k·14薪,5-10年,硕士,NLP,某上海专业服务公司,专业技术服务,50-99人,融资未公开
大模型产品经理,上海,40-70k·16薪,5-10年,统招本科,"大模型产品,AI产品,大厂背景",国内互联网巨头公司,互联网/电商,10000人以上,已上市
ai大模型专家,上海,35-40k·20薪,5-10年,统招本科,Unknown,某知名上市公司,互联网,10000人以上,已上市
大模型数据算法工程师,上海-徐汇区,30-60k,5-10年,本科,Python,OPPO,通信设备,10000人以上,Unknown
大模型技术总监,上海,50-80k·16薪,经验不限,本科,"深度学习,算法开发,深度学习框架",某北京互联网公司,互联网,100-499人,B轮
大模型测试,上海,40-70k,1-3年,本科,Unknown,某知名公司,互联网,1-49人,Unknown
NLP大模型算法工程师,上海-闵行区,40-60k·14薪,10年以上,硕士,"自然语言处理,深度学习,数据处理,优化算法,算法优化,算法研究",优理奇机器人(苏州)有限公司,,Unknown,Unknown
AI大模型产品经理,上海,25-50k,3-5年,本科,"AI人工智能产品,数据产品,策略产品,人工智能,数据分析,产品规划,产品优化,市场调研,用户研究",某大型基金/证券/投资公司,基金/证券/期货,500-999人,战略融资
AI大模型性能优化架构师,上海,100-200k·14薪,10年以上,统招本科,"大数据领域,技术支持,架构设计",某深圳IT服务上市公司,通信设备,10000人以上,已上市
大模型算法研究和平台研发-北京上海深圳杭州,上海,50-80k·16薪,3-5年,硕士,"算法研究,算法优化,算法开发,大模型",某大型互联网公司,互联网,10000人以上,融资未公开
大模型工程师——cv 多模态方向,上海-闵行区,25-40k,3-5年,本科,Unknown,龙旗,通信设备,5000-10000人,Unknown
AI大模型产品经理,上海-虹口区,15-25k·14薪,3-5年,统招本科,"AI人工智能产品,数据产品,策略产品,人工智能,产品优化,产品规划,数据分析,市场调研,用户研究",天翼视联科技有限公司,运营商/增值服务,1000-2000人,Unknown
大模型异构系统研发工程师,上海-徐汇区,30-60k,3-5年,统招本科,"架构开发,架构设计,C++",魔形智能科技(上海)有限公司,IT服务,1-49人,Unknown
大模型训练框架开发工程师,上海-徐汇区,25-55k,3-5年,本科,"C/C++,Python,算法设计,算法研究,算法开发,算法优化",魔形智能科技(上海)有限公司,IT服务,1-49人,Unknown
AI大模型研发工程师,上海-闵行区,30-60k·15薪,3-5年,硕士,Unknown,某重庆大型新能源汽车公司,新能源汽车,1000-2000人,B轮
NLP大模型算法工程师,上海,40-70k·14薪,3-5年,硕士,"深度学习,自然语言处理,深度学习框架,C++,Julia,GPT,算法开发,Python,情感识别",某国内机械/设备公司,工业自动化,Unknown,Unknown
大模型工程师(J10031),上海-浦东新区,25-35k,3-5年,硕士,Unknown,海尔消费金融有限公司,基金/证券/期货,100-499人,Unknown
大模型分布式训练优化工程师,上海,30-60k·15薪,3-5年,硕士,"Java,C++,Python,神经网络算法,决策树,IT/信息化领域,人工智能领域,大数据领域,PostgreSQL,SQL Server",某上海互联网公司,互联网,50-99人,战略融资
NLP大模型算法专家,上海,40-70k·14薪,3-5年,硕士,"深度学习,自然语言处理,数据处理,算法优化,优化算法,算法研究",某国内工业自动化公司,工业自动化,Unknown,Unknown
大模型应用研发专家,上海,35-55k·15薪,经验不限,学历不限,Unknown,某知名云计算公司,互联网/电商,5000-10000人,Unknown
大模型服务研发专家,上海,35-55k·16薪,经验不限,学历不限,Unknown,某知名云计算公司,互联网/电商,5000-10000人,Unknown
大模型异构系统研发工程师,上海,60-90k·15薪,经验不限,硕士,"大模型训练,分布式计算,系统架构",某北京人力资源服务公司,人力资源服务,100-499人,A轮
大模型产品经理,上海-徐汇区,50-80k·15薪,5-10年,本科,"IT互联网,to B,大模型产品",腾讯,互联网,10000人以上,港股上市
ai leader（大模型）,上海,90-120k·14薪,5-10年,本科,"团队管理,软件开发,Linux",上海维智卓新信息科技有限公司,云计算/大数据,100-499人,A轮
大模型专家（框架方向）,上海,70-100k,5-10年,本科,Unknown,某知名公司,人力资源服务,1-49人,Unknown
高级大模型数据工程师,上海-闵行区,20-50k,5-10年,统招本科,"数据清洗,数据治理,Python,Pandas",北京之合网络科技有限公司,科技推广服务,1-49人,Unknown
大模型算法总监,上海-浦东新区,40-60k·14薪,5-10年,硕士,Unknown,人形机器人(上海)有限公司,人工智能,50-99人,Unknown
大模型优化专家,上海,35-55k·16薪,经验不限,本科,Unknown,某知名云计算公司,互联网/电商,5000-10000人,Unknown
大模型分布式训练优化工程师,上海-徐汇区,30-60k,3-5年,本科,Unknown,北京无问芯穹科技有限公司,人工智能,1-49人,Unknown
大模型算法工程师-推广搜,上海,80-100k·15薪,5-10年,硕士,"AIGC,NLP,CV,大模型训练,RL算法",某知名云服务商,云服务,1000-2000人,已上市
大模型异构系统研发工程师,上海-徐汇区,30-60k,3-5年,本科,Unknown,北京无问芯穹科技有限公司,人工智能,1-49人,Unknown
大模型算法工程师/专家,上海,50-80k·15薪,3-5年,硕士,Unknown,某大型互联网公司,互联网,10000人以上,融资未公开
大模型异构系统研发工程师,上海,30-60k·15薪,3-5年,统招本科,"GPU,C++,异构系统,LLM",某上海互联网公司,互联网,100-499人,Unknown
NLP大模型算法工程师,上海-闵行区,25-50k,3年以上,硕士,"自然语言处理,深度学习,优化算法,算法优化,数据处理,算法研究",优理奇机器人(苏州)有限公司,,Unknown,Unknown
大模型算子研发工程师,上海,60-90k·15薪,5-10年,硕士,"CUDA,GEMM/Conv（卷积）,矩阵乘法,GPU",某知名公司,人工智能,2000-5000人,C轮
大模型算法工程化专家,上海,40-60k·16薪,经验不限,学历不限,"算法开发,PyTorch,TensorFlow,Python",某知名云计算公司,互联网/电商,5000-10000人,Unknown
大模型异构系统研发工程师（上海、北京）,上海,30-60k·15薪,3-5年,硕士,"C/C++,TensorFlow,PyTorch,Python,算法设计,算法优化,学习向量量化,SA算法,HuggingFace，Deep",某上海互联网公司,互联网,50-99人,战略融资
AI大模型系统方案架构师,上海,100-200k,10年以上,硕士,"GPU全软件堆栈架构设计,异构算力平台",某深圳IT服务上市公司,通信设备,10000人以上,已上市
智驾大模型-感知规控一体化端到端大模型,上海,60-90k·18薪,经验不限,学历不限,Unknown,某知名公司,新能源汽车,100-499人,A轮
AI大模型算法工程师,上海-虹口区,30-60k,3-5年,统招本科,"图像处理,深度学习,自然语言处理,算法开发,算法设计,算法研究,Python,TensorFlow,PyTorch",某杭州运营商/增值服务公司,运营商/增值服务,5000-10000人,Unknown
AI大模型算法工程师,上海,25-50k,3-5年,硕士,"PyTorch,Python,TensorFlow",某上海大型基金/证券/期货公司,基金/证券/期货,500-999人,战略融资
博士后研究员-大模型算法,上海-浦东新区,50-80k·14薪,1-3年,博士,"算法研究,自然语言处理,算法优化,NLP",万得,互联网,2000-5000人,其他
博士后研究员-大模型算法,上海-浦东新区,50-80k·14薪,1-3年,博士,"自然语言处理,优化算法,算法优化",万得,互联网,2000-5000人,其他
大模型训练框架工程师,上海,30-60k,1-3年,本科,"软件开发,架构设计,Python,C++",某上海IT服务公司,IT服务,1-49人,Unknown
大模型增长算法工程师-广告投放方向,上海,40-70k·16薪,3-5年,统招本科,Unknown,某上海计算机软件公司,计算机软件,50-99人,B轮
AI大模型产品经理,上海,50-70k·14薪,3-5年,硕士,"AI人工智能产品,策略产品,数据产品,人工智能,产品规划,产品优化,数据分析,市场调研,用户研究",某北京通信设备上市公司,通信设备,10000人以上,已上市
AI大模型算法工程师,上海-虹口区,15-25k·14薪,3-5年,统招本科,"PyTorch,TensorFlow,Python",天翼视联科技有限公司,运营商/增值服务,1000-2000人,Unknown
大模型算法研发专家,上海,100-200k·15薪,10年以上,统招本科,"技术战略,技术支持",某知名公司,互联网,50-99人,Unknown
自动驾驶大模型算法工程师/专家,上海,50-80k·14薪,5-10年,本科,"图像检测,PyTorch,Python",某大型知名新能源汽车公司,新能源汽车,10000人以上,已上市
AI大模型系统方案资深架构师,上海,80-110k·15薪,经验不限,统招本科,"异构,GPU,AI",国内头部芯片企业,电子/芯片/半导体,10000人以上,已上市
大模型基础设施架构师（预训练）,上海,80-110k·20薪,10年以上,统招本科,"大算力,基础设施,预训练,大模型",某上海电子/半导体/集成电路上市公司,电子/半导体/集成电路,1000-2000人,已上市
IAAS-大模型研发专家,上海,40-70k,5-10年,统招本科,"Docker,Kubernetes,云计算领域,大模型,高性能计算,iaas",某北京大型互联网公司,互联网,2000-5000人,战略融资
AI大模型适配负责人-算子开发等,上海-浦东新区,30-60k·15薪,5-10年,统招本科,"算子开发,算子优化,模型适配,框架优化",某北京大型计算机软件公司,互联网,2000-5000人,战略融资
高级大模型数据工程师,上海-闵行区,20-40k,5-10年,本科,"数据开发,数据治理,数据建模",北京之合网络科技有限公司,科技推广服务,1-49人,Unknown
大模型算法工程师-业务开发,上海-闵行区,50-80k·15薪,经验不限,硕士,Unknown,某北京大型云计算/大数据公司,云计算/大数据,10000人以上,D轮及以上
AI大模型算法工程师,上海,40-60k·14薪,经验不限,本科,Unknown,某知名公司,运营商/增值服务,5000-10000人,Unknown
大模型分布式训练优化工程师,上海-徐汇区,30-60k,3-5年,统招本科,"C++,Python,TensorFlow",某上海专业技术服务公司,专业技术服务,100-499人,Unknown
多模态大模型工程师,上海,30-50k·14薪,1-3年,硕士,"深度学习,深度学习框架",万得,互联网,2000-5000人,其他
大模型算法专家/总监(A32095),上海-徐汇区,80-110k,5-10年,本科,"算法研究,深度学习框架,算法开发,算法优化,大模型算法,LLM,预训练,微调",星纪魅族,互联网,1000-2000人,Unknown
大模型NLP算法,上海,40-70k·15薪,10年以上,本科,自然语言处理,某北京生活服务O2O上市公司,生活服务O2O,10000人以上,已上市
大模型（视觉感知/nlp）工程师,上海,17-30k·16薪,3-5年,硕士,数据建模,某上海通信设备上市公司,通信设备,5000-10000人,已上市
大模型算法,上海,70-100k,经验不限,硕士,Transformer,某知名公司,咨询服务,100-499人,Unknown
大模型多模态算法研究员,上海,110-140k·15薪,经验不限,硕士,"强化学习,Q-learning,Python,C/C++,C语言,C++,Objective-C",某大型计算机软件公司,计算机软件,5000-10000人,Unknown
AML大模型系统工程师,上海,40-70k·15薪,5-10年,硕士,C++,某北京电子/半导体/集成电路公司,电子/半导体/集成电路,100-499人,B轮
大模型分布式系统优化专家,上海-徐汇区,45-75k,5-10年,硕士,深度学习,某上海专业技术服务公司,专业技术服务,100-499人,Unknown
AI大模型算法工程师,上海,30-60k·16薪,3-5年,学历不限,"PyTorch,TensorFlow,Python",某知名公司,运营商/增值服务,5000-10000人,Unknown
大模型推理,上海-杨浦区,50-80k·15薪,经验不限,本科,"深度学习,C++,深度学习框架,PyTorch,TensorFlow,强化学习,自然语言处理",上海聿贵企业管理咨询有限公司,专业技术服务,1-49人,Unknown
大模型异构系统研发工程师,上海-徐汇区,30-50k,3-5年,统招本科,"C/C++,Python",某上海专业技术服务公司,专业技术服务,100-499人,Unknown
NLP大模型算法工程师,上海,55-70k,3-5年,硕士,"自然语言处理,深度学习,算法优化,优化算法,算法研究",某上海专业技术服务公司,专业技术服务,50-99人,融资未公开
阿里云智能-解决方案架构师（海外业务大模型方向）-杭州/上海,上海-徐汇区,20-50k,5-10年,统招本科,"技术战略,技术支持,架构设计,Flink,软件开发",阿里云,互联网,10000人以上,融资未公开
大模型算法首席专家,上海-浦东新区,40-70k·16薪,5-10年,硕士,"深度学习,深度学习框架",智元机器人,智能硬件,50-99人,A轮
博士后研究员-大模型算法,上海,40-70k·14薪,1-3年,博士,"PyTorch,TensorFlow,大模型,自然语言处理",万得,互联网,2000-5000人,其他
大模型技术专家/总监(A17636),上海-徐汇区,70-100k,5-10年,本科,"大模型开发,AIGC,prompt工程,大模型应用开发,后端开发",星纪魅族,互联网,1000-2000人,Unknown
大模型训练系统研发工程师,上海-徐汇区,30-50k·15薪,3-5年,硕士,"深度学习,深度学习框架,C++,PyTorch",上海人工智能实验室,人工智能,500-999人,Unknown
大模型算法,上海-虹口区,24-30k,3-5年,本科,Unknown,重庆网达软件有限公司,计算机软件,500-999人,沪深A股上市
大模型分布式训练/推理框架开发工程师,上海-静安区,30-60k·15薪,3-5年,本科,"深度学习,深度学习框架",思朗科技,电子/半导体/集成电路,100-499人,Unknown
大模型算法工程师,上海-徐汇区,25-50k,3-5年,硕士,"深度学习,PyTorch",苏州思必驰,人工智能,500-999人,D轮
大模型分布式优化工程师（北京/成都/郑州/南京/青岛）,上海-浦东新区,15-30k,3-5年,本科,Unknown,曙光信息产业(北京),专业技术服务,1000-2000人,Unknown
AI大模型负责人/Leader,上海-浦东新区,60-90k,3-5年,本科,"自然语言处理,深度学习,深度学习框架",上海维智卓新信息科技有限公司,云计算/大数据,100-499人,A轮
智能驾驶大模型软件工程师（北京/上海）(A06189),上海-嘉定区,40-70k·14薪,5-10年,硕士,"算法开发,智能驾驶",理想汽车,整车制造,10000人以上,美股上市
大模型/深度学习算法专家,上海-徐汇区,30-60k·16薪,经验不限,硕士,深度学习,斑马网络技术有限公司,互联网,1000-2000人,Unknown
AI大模型负责人/leader,上海-浦东新区,30-50k,5-10年,统招本科,"自然语言处理,知识图谱,深度学习,深度学习框架",上海维智卓新信息科技有限公司,云计算/大数据,100-499人,A轮
大模型分布式系统优化专家,上海-徐汇区,30-60k·15薪,5-10年,硕士,"分布式并行计算,异构计算框架,OpenMPI,深度学习分布式优,大模型训练,大模型推理优化,芯片互联",北京无问芯穹科技有限公司,人工智能,1-49人,Unknown
大模型算法工程师,上海,35-60k,1-3年,硕士,"语言模型,LLM",巨人网络,游戏,2000-5000人,Unknown
大模型售前解决方案专家,上海-徐汇区,30-50k,5-10年,统招本科,Unknown,名之梦(上海)科技有限公司,计算机软件,50-99人,A轮
招聘经理（支持大模型、大算力业务）,上海-徐汇区,20-35k·15薪,10年以上,统招本科,"岗位配置招聘,人力资源经验",商汤科技SenseTime,计算机软件,2000-5000人,港股上市
AI大模型专家,天津,90-120k,5-10年,硕士,"自然语言处理,目标检测,图像分析,检测算法,算法研究,定位算法,深度学习,C/C++,C语言",某深圳通信设备上市公司,通信设备,10000人以上,已上市
大模型开发工程师,天津-武清区,26-30k·13薪,3-5年,硕士,"C语言,Python,Java,算法开发,算法优化,GPT,自然语言生成,C++,PyTorch,TensorFlow",思腾合力,人工智能,100-499人,Unknown
大模型开发工程师,天津,20-30k,3-5年,硕士,Unknown,思腾合力,人工智能,100-499人,Unknown
多模态大模型算法工程师,天津-滨海新区,15-25k·14薪,1-3年,硕士,"深度学习,算法研究,算法开发,深度学习框架",北京云圣智能科技有限责任公司,计算机软件,100-499人,C轮
AI大模型专家/高级工程师,天津,40-70k·15薪,3-5年,硕士,"大模型,LLM,多模态,NLP,CV,AIGC,AI平台",某深圳通信设备上市公司,通信设备,10000人以上,已上市
AI大模型,天津-东丽区,薪资面议,5-10年,硕士,Unknown,中兴通讯,通信设备,10000人以上,沪深A股上市
NLP\大模型 专家/工程师,天津-南开区,35-65k·14薪,经验不限,学历不限,"深度学习,Python,C++",某天津医疗器械上市公司,医疗器械,1000-2000人,已上市
字节跳动AI大模型视图数据运营-AI机器模型,天津-西青区,8-12k·15薪,1-3年,本科,"AI标注大模型,外包供应商管理,AIGC智能机器方向,视频标注,文本标注,数据标注,标注分析和优化",字节跳动,互联网,10000人以上,其他
AI技术生态部_区域运营经理(京津鲁豫),天津-和平区,20-40k·16薪,5-10年,统招本科,"区域运营,平台运营,to G,to B,大模型,AI",Baidu,互联网,10000人以上,美股上市
AI架构师,天津-西青区,30-60k,5-10年,统招本科,技术支持,戎行集团,网络/信息安全,100-499人,Unknown
Windows AI软件开发工程师,天津-东丽区,20-35k,3-5年,本科,Unknown,联想,计算机硬件,10000人以上,港股上市
AI模型反馈运营专家,天津-红桥区,8-15k·15薪,3-5年,本科,Unknown,字节跳动,互联网,10000人以上,其他
AI 产品 / 数据产品,天津-东丽区,20-40k,3-5年,统招本科,"数据产品,工具产品,数据分析,产品优化,原型设计,用户研究,需求分析,产品设计,需求挖掘",天津市河东区丽滋卡尔医院有限公司,医疗机构,1000-2000人,融资未公开
深度学习算法工程师（工业领域）,天津,45-50k,3-5年,学历不限,"算法设计,算法开发",某国内知名公司,仪器仪表,500-999人,融资未公开
人工智能业务专家,天津,50-80k,10年以上,博士,Unknown,南油服务,石化,10000人以上,Unknown
软件架构师（AI方向）,天津-滨海新区,25-35k·14薪,10年以上,硕士,技术支持,某天津通信设备公司,通信设备,100-499人,战略融资
软件架构师（算法方向）,天津-滨海新区,25-35k,10年以上,硕士,"架构设计,算法设计,Java,Python",某天津通信设备公司,通信设备,100-499人,战略融资
高级nlp算法工程师（医疗健康）,天津-南开区,30-40k·13薪,3-5年,硕士,"深度学习,算法开发,算法设计,自然语言生成",某天津医疗器械上市公司,医疗器械,1000-2000人,已上市
AI产品经理,天津-东丽区,15-25k,3-5年,本科,"数据产品,策略产品,工具产品,医疗行业,产品设计,产品优化,数据分析,产品规划,需求分析,用户研究",天津市河东区丽滋卡尔医院有限公司,医疗机构,1000-2000人,融资未公开
算法工程师（中电伟恒）,天津-东丽区,16-20k,1-3年,统招本科,"机器学习,深度学习,Python,TensorFlow,自然语言处理,图像分类,知识图谱",某北京专业技术服务公司,专业技术服务,50-99人,融资未公开
算法工程师（ASR/NLP）,天津-滨海新区,15-30k,5-10年,硕士,"语言模型,算法研究,PyTorch",长城滨银汽车金融,担保/拍卖/典当,100-499人,Unknown
算法工程师,天津,15-20k·14薪,3-5年,统招本科,"深度学习,深度学习框架,TensorFlow",某国内大型电力/热力/燃气/水务公司,电力/热力/燃气/水务,10000人以上,融资未公开
软件架构师（AI方向）,天津-滨海新区,15-25k,5-10年,硕士,技术支持,华海智汇技术有限公司,通信设备,100-499人,战略投资
软件架构师（算法方向）,天津-滨海新区,15-25k,5-10年,硕士,"算法设计,算法优化,优化算法,算法开发,Python,Java",华海智汇技术有限公司,通信设备,100-499人,战略投资
算法架构师（华为体系 ICT 智慧城市 物联网）,天津,20-40k,5年以上,硕士,Unknown,某天津知名通信设备公司,通信设备,100-499人,战略融资
软件架构师（AI方向）,天津-滨海新区,20-40k,8年以上,硕士,"视觉开发,视觉感知",某天津通信设备公司,通信设备,100-499人,战略融资
大模型算法主任工程师,重庆,50-80k·15薪,5年以上,统招本科,Unknown,某重庆新能源汽车上市公司,新能源汽车,10000人以上,已上市
大模型算法主任工程师,重庆-沙坪坝区,20-30k·15薪,经验不限,统招本科,Unknown,某重庆新能源汽车上市公司,新能源汽车,10000人以上,已上市
高级架构师（大模型）,重庆-渝北区,30-35k,10年以上,本科,"数据库设计,技术支持,云计算领域,Python,非关系型数据库,Redis,MySQL,MongoDB,Oracle",埃克斯工业,计算机软件,100-499人,B轮
大模型工程师,重庆-沙坪坝区,15-30k,1-3年,统招本科,Unknown,国科础石(重庆)软件有限公司,计算机软件,500-999人,其他
大模型算法工程师,重庆,50-80k·15薪,3年以上,统招本科,Unknown,某重庆新能源汽车上市公司,新能源汽车,10000人以上,已上市
大模型算法开发,重庆,30-40k,3-5年,统招本科,Unknown,某重庆新能源汽车上市公司,新能源汽车,10000人以上,已上市
大模型算法工程师/主任,重庆,20-35k·14薪,5-10年,学历不限,"动力系统,电池",某重庆大型整车制造公司,整车制造,10000人以上,战略融资
大数据负责人（电池+车云+大模型+整车）,重庆,80-110k·18薪,10年以上,统招本科,"深度学习,机器视觉,算法设计",某重庆大型新能源汽车公司,新能源汽车,1000-2000人,B轮
AI大模型算法工程师,重庆,15-25k·17薪,5-10年,统招本科,Unknown,某重庆整车制造上市公司,整车制造,10000人以上,已上市
AI大模型算法工程师,重庆-渝北区,18-30k,5-10年,硕士,"大模型,自然语言处理,算法开发,算法设计",长安汽车,整车制造,10000人以上,已上市
大模型算法,重庆,28-45k·15薪,3-5年,本科,"数据处理,算法开发",某检测认证公司,检测/认证,1-49人,Unknown
CV大模型（技术专家）,重庆,60-90k,5-10年,硕士,"GPT、RNN、CNN，LLaM,owner,百度、华为、阿里",某重庆大型IT服务公司,IT服务,10000人以上,融资未公开
大模型算法,重庆-九龙坡区,20-40k·15薪,3-10年,硕士,"Python,IT/信息化领域,C++,Javascript",西部创源智行科技(重庆)有限公司,检测/认证,1-49人,Unknown
大模型算法工程师,重庆,30-60k·14薪,10年以上,统招本科,"数据开发,大数据算法,算法开发",某重庆大型新能源汽车公司,新能源汽车,1000-2000人,B轮
